Date,Price,Open,High,Low,Vol.,Change %
6-Feb-14,890.92,893,895.75,885.25,2.87M,-0.49
5-Feb-14,895.31,895,897.25,885.69,2.16M,0.57
4-Feb-14,890.27,895.25,897.99,886.64,2.27M,-1.88
3-Feb-14,907.29,921.25,923,906.2,2.19M,-1.94
31-Jan-14,925.27,925,934.94,921.64,2.68M,-0.09
30-Jan-14,926.06,925.92,929.17,915,3.59M,-0.36
29-Jan-14,929.45,916.5,935.92,913.41,4.05M,1.16
28-Jan-14,918.77,926.75,927.17,916.71,7.05M,-1.53
27-Jan-14,933.05,930,940.98,927.8,4.05M,-0.69
24-Jan-14,939.54,941.25,949.24,938.67,3.44M,-0.9
23-Jan-14,948.12,946.02,949.75,940.21,3.95M,0.71
22-Jan-14,941.48,935.3,944.5,935.01,3.38M,0.2
21-Jan-14,939.59,937.5,942.5,929.59,6.05M,0.24
20-Jan-14,937.33,928,939.99,926.11,4.88M,0.52
17-Jan-14,932.44,932.25,941.16,930,12.83M,0.13
16-Jan-14,931.26,924.75,934.36,923.41,8.80M,0.35
15-Jan-14,928.01,923.83,931.09,920.25,8.57M,0.69
14-Jan-14,921.69,911.25,923.75,910.11,3.71M,0.59
13-Jan-14,916.25,895.5,918.75,895.5,8.56M,3.2
10-Jan-14,887.81,872.5,893.75,862,15.13M,2.91
9-Jan-14,862.7,860,870.5,854.46,6.30M,0.66
8-Jan-14,857.02,865.25,868.75,855.25,4.50M,-0.84
7-Jan-14,864.29,879.76,881.48,861.67,3.86M,-1.73
6-Jan-14,879.48,893.77,895.12,867.15,5.55M,-1.33
3-Jan-14,891.29,868.75,893.75,863.56,5.02M,2.43
2-Jan-14,870.14,865.81,877,865.81,2.20M,0.36
1-Jan-14,867,873,874.75,865.51,739.34K,-0.51
31-Dec-13,871.41,875,880.42,870.06,1.80M,-0.48
30-Dec-13,875.59,891.92,893.75,868.75,5.93M,-1.66
27-Dec-13,890.33,882.5,893,882.49,3.69M,1.16
26-Dec-13,880.16,871.75,883.6,870.94,3.43M,0.98
24-Dec-13,871.6,871.5,875.73,866.52,3.55M,0.52
23-Dec-13,867.11,875,884.98,865.14,4.42M,-2.33
20-Dec-13,887.84,881.25,893.25,877.1,4.34M,1.11
19-Dec-13,878.06,865.62,886.24,863.75,3.67M,1.58
18-Dec-13,864.36,862.5,868.44,861.88,4.59M,0.03
17-Dec-13,864.09,861.27,871.23,861.27,5.36M,0.12
16-Dec-13,863.06,845,866,838.45,5.06M,2.32
13-Dec-13,843.46,836.25,845,836.25,4.16M,0.3
12-Dec-13,840.96,841.1,846.42,837,2.76M,-0.31
11-Dec-13,843.59,841.25,845.42,835,3.13M,0.1
10-Dec-13,842.71,833.75,847.46,832.89,6.17M,0.96
9-Dec-13,834.7,841.25,846.01,830.26,4.43M,0.39
6-Dec-13,831.45,834.76,837.25,829.55,3.27M,-0.76
5-Dec-13,837.83,845,849.75,835.5,3.16M,-0.42
4-Dec-13,841.34,837.5,846.5,834.2,4.22M,0.5
3-Dec-13,837.19,830,839.88,830,3.50M,0.3
2-Dec-13,834.67,838,844.23,831.27,2.36M,-0.47
29-Nov-13,838.64,834,841.5,827.5,2.71M,0.8
28-Nov-13,831.95,825.35,834.5,816.25,3.75M,1.05
27-Nov-13,823.33,830,833.96,821.45,3.39M,-0.69
26-Nov-13,829.05,830,837.25,823.16,3.66M,-0.29
25-Nov-13,831.5,838,844.7,826.75,2.85M,-0.65
22-Nov-13,836.9,836.5,843.75,834,1.36M,0.1
21-Nov-13,836.09,849,850,828.27,4.25M,-1.7
20-Nov-13,850.55,852.25,860.83,848.75,2.15M,-1.18
19-Nov-13,860.74,851.5,862,850.01,4.49M,1.14
18-Nov-13,851.02,847.75,853.75,846.96,3.16M,1.49
14-Nov-13,838.56,838.08,843.75,837.51,2.17M,0.67
13-Nov-13,833.01,829.01,839.65,829.01,2.34M,-0.14
12-Nov-13,834.21,840.62,843.75,832.02,3.23M,-0.77
11-Nov-13,840.65,837.5,849.5,835.02,3.90M,0.08
8-Nov-13,840.01,837.5,847.3,837.5,4.31M,0.07
7-Nov-13,839.4,830.41,849.99,828.4,3.60M,1.56
6-Nov-13,826.54,818.83,828.05,818.83,1.85M,1.23
5-Nov-13,816.46,813,822.64,808.25,2.66M,-0.41
3-Nov-13,819.85,820,823.94,818.3,202.01K,0.08
1-Nov-13,819.17,825,828.75,817.35,3.08M,-1
31-Oct-13,827.48,826.08,832,824.05,4.84M,-0.42
30-Oct-13,830.98,827.75,834.71,826.86,2.80M,-0.35
29-Oct-13,833.9,829.88,841.24,826.69,2.60M,0.37
28-Oct-13,830.86,829.3,833.73,823.29,1.71M,-0.24
25-Oct-13,832.89,832,837.5,826.58,3.01M,0.69
24-Oct-13,827.19,825.58,843.75,822.51,3.24M,-0.48
23-Oct-13,831.2,830,834.7,819.75,3.28M,-0.53
22-Oct-13,835.59,834.5,841.05,831.35,3.60M,0.21
21-Oct-13,833.86,833.25,844.42,816.27,4.69M,0.63
18-Oct-13,828.64,821.5,830.98,815.25,5.47M,1.41
17-Oct-13,817.12,832.55,839.48,815,5.76M,-2.57
15-Oct-13,838.7,831,841.76,828.2,4.61M,0.92
14-Oct-13,831.09,814,833.89,814,6.12M,1.52
11-Oct-13,818.62,833.75,834.5,789.2,20.65M,4.7
10-Oct-13,781.9,781.27,790.24,772.69,8.72M,0.57
9-Oct-13,777.46,756.75,782.85,752.5,8.69M,2.49
8-Oct-13,758.54,760.08,763,755.58,8.99M,0.41
7-Oct-13,755.46,753.75,759.94,751.6,4.90M,0.18
4-Oct-13,754.1,756.56,759.75,751.25,3.68M,-0.68
3-Oct-13,759.29,758.75,761.75,755,7.34M,0.73
1-Oct-13,753.75,757.5,759.58,750.75,2.66M,0.07
30-Sep-13,753.25,755.05,763.75,749.39,4.34M,0.21
27-Sep-13,751.65,756,762.75,747.75,2.85M,-0.19
26-Sep-13,753.08,758.5,759.21,750.25,5.34M,0.09
25-Sep-13,752.41,757.95,758.75,748.16,4.04M,-0.18
24-Sep-13,753.77,757.5,757.75,749.23,5.88M,-0.14
23-Sep-13,754.85,751.25,760.99,750.26,4.44M,0.81
20-Sep-13,748.79,750,758,745.88,4.00M,-0.79
19-Sep-13,754.75,749.75,758.75,748.08,7.66M,0.06
18-Sep-13,754.29,756.25,757.31,751.25,3.72M,-0.18
17-Sep-13,755.65,754.25,757.49,747.75,4.01M,0.98
16-Sep-13,748.35,756.25,764.49,745.02,3.17M,-1.14
13-Sep-13,757.01,765.06,766.46,753.33,4.63M,-1.23
12-Sep-13,766.46,776.25,779.77,762,3.48M,-1.71
11-Sep-13,779.77,786.25,793.24,776.94,4.57M,-1.26
10-Sep-13,789.73,758,797,758,10.94M,4.29
6-Sep-13,757.26,751.48,767.98,751.48,6.73M,0.81
5-Sep-13,751.2,774.17,774.17,748.77,4.73M,-3.47
4-Sep-13,778.17,764.92,784.98,763.9,4.49M,2.6
3-Sep-13,758.42,768,773.62,754.2,3.13M,-1.69
2-Sep-13,771.48,769.27,781.9,766.15,2.56M,-0.64
30-Aug-13,776.46,773,780.73,759.38,6.34M,0.04
29-Aug-13,776.15,767.5,781.74,765.25,10.04M,-0.37
28-Aug-13,779.06,763,782.5,763,7.16M,1.97
27-Aug-13,764.01,758,770,757.98,4.26M,0.84
26-Aug-13,757.67,754.99,762.46,752.12,2.79M,1
23-Aug-13,750.17,751.25,754.99,745.58,2.75M,-0.65
22-Aug-13,755.05,747.25,759.11,741,5.48M,2.08
21-Aug-13,739.69,748.7,748.7,730.52,3.76M,-1.59
20-Aug-13,751.66,755,755.25,745.62,5.18M,0.05
19-Aug-13,751.25,747.52,756.74,737.74,2.63M,0.89
16-Aug-13,744.6,755,759.99,741.91,6.04M,-2.97
14-Aug-13,767.41,767.5,773.73,760.64,4.61M,-0.45
13-Aug-13,770.9,752.02,773.5,752,5.17M,2.6
12-Aug-13,751.35,744,755,742.75,3.80M,1.38
8-Aug-13,741.14,735,744.5,735,2.88M,0.04
7-Aug-13,740.84,743.75,750.7,737.81,3.25M,-0.8
6-Aug-13,746.84,752,753,737.76,5.02M,-0.72
5-Aug-13,752.26,749.7,756.25,749.12,4.25M,0.01
2-Aug-13,752.2,746.25,755,745.27,5.98M,1.15
1-Aug-13,743.66,747,748.79,739.19,4.35M,0.17
31-Jul-13,742.41,742.25,747.9,732.05,5.90M,0.47
30-Jul-13,738.92,732.75,743.25,732.75,3.17M,1.18
29-Jul-13,730.3,727.5,736,727.5,2.18M,0.27
26-Jul-13,728.33,732.5,738.25,725.65,3.45M,-0.07
25-Jul-13,728.83,727.25,736.34,725.25,3.59M,0.23
24-Jul-13,727.15,720,731.75,720,2.44M,0.23
23-Jul-13,725.49,722.5,729.29,722.5,3.08M,0.88
22-Jul-13,719.19,705.55,723.73,705.5,3.38M,1.03
19-Jul-13,711.86,700.75,716.25,700.75,8.20M,1.67
18-Jul-13,700.19,688.5,704.38,684.71,6.54M,1.81
17-Jul-13,687.71,682.91,689.59,682.91,3.29M,0.81
16-Jul-13,682.2,675.51,692.65,670.26,3.15M,-0.51
15-Jul-13,685.67,696.26,697.5,682.08,6.44M,-2.19
12-Jul-13,701.05,695.29,726.4,687.5,26.44M,10.91
11-Jul-13,632.09,633.75,640.86,627.44,7.85M,1.09
10-Jul-13,625.29,626.25,630,623.25,3.43M,0.12
9-Jul-13,624.55,620.25,628.5,620.25,4.31M,1.22
8-Jul-13,617.04,621.25,623.5,615.12,2.71M,0.49
5-Jul-13,614.05,616.75,620.89,609.67,2.17M,-0.48
4-Jul-13,617,608.25,618.79,605,2.61M,2.64
3-Jul-13,601.12,600.25,612.98,598.15,2.67M,0.02
2-Jul-13,600.99,612.02,615.89,600,2.56M,-1.92
1-Jul-13,612.75,617.25,618.38,610.27,2.10M,-1.91
28-Jun-13,624.71,617.8,626.94,606,5.85M,0.65
27-Jun-13,620.7,605.25,624.99,603.15,5.34M,3.48
26-Jun-13,599.85,597.9,603.65,592.91,2.78M,1.07
25-Jun-13,593.48,595,596.71,586.25,2.90M,-0.27
24-Jun-13,595.1,600.62,600.81,587.98,3.67M,-1.59
21-Jun-13,604.69,592.65,608,592.65,3.08M,2.1
20-Jun-13,592.27,607,612,585.69,3.40M,-2.84
19-Jun-13,609.59,611.5,612.17,601.83,2.92M,-0.34
18-Jun-13,611.64,607.5,615,606.17,2.14M,0.99
17-Jun-13,605.65,602.86,606.5,598.71,1.36M,1.15
14-Jun-13,598.74,597.92,602.25,594.29,2.79M,0.63
13-Jun-13,594.98,606,606.25,593.75,2.08M,-1.71
12-Jun-13,605.34,615.56,626.6,603.21,2.96M,-2.19
11-Jun-13,618.88,622.5,628.62,616.46,2.98M,-0.45
10-Jun-13,621.69,615,624.5,614.3,2.14M,1.63
7-Jun-13,611.7,606.25,618.23,605,3.31M,0.71
6-Jun-13,607.41,612.5,613.66,603.98,3.75M,-1.28
5-Jun-13,615.31,620,622.55,613.75,2.54M,-1.39
4-Jun-13,623.98,622.5,629.86,615.9,5.86M,-0.72
3-Jun-13,628.52,631.25,656.25,618.79,16.61M,4.25
31-May-13,602.92,585.5,608.73,585.5,9.25M,3
30-May-13,585.36,583.38,587.16,579.12,3.17M,-0.47
29-May-13,588.1,592.5,597.75,583.25,2.58M,-0.58
28-May-13,591.55,592.5,595,588.41,2.12M,-0.27
27-May-13,593.17,585.3,596.5,582.58,1.66M,1.05
24-May-13,586.98,590.4,596.25,583.5,1.84M,-0.51
23-May-13,589.96,594,604.81,589.04,2.55M,-1.07
22-May-13,596.33,600,608.25,594.56,3.12M,-0.51
21-May-13,599.4,592.55,604.26,591.74,2.83M,1.08
20-May-13,593.01,586.5,595.75,586,4.38M,0.86
17-May-13,587.94,584.23,592.25,583.75,3.22M,0.82
16-May-13,583.15,588.38,589.95,578.31,3.50M,-1.18
15-May-13,590.11,588.25,593.17,586.85,4.45M,0.44
14-May-13,587.51,584.33,592.7,584.33,2.24M,0.45
